config_id,association_valency,association_constant,association_lifetime,rg,msd_alpha,pair_msd_alpha
10,9,3.318827047295459,4.074324861703429,2.4846558570861816,0.29287454430543486,0.2885483547335491
105,3,69.08403393963856,1.7926028956338775,3.3998138904571533,0.5153017049029267,0.5183065552614775
104,8,7.129690000253928,0.40161158531541136,2.5093624591827393,0.460192827113597,0.46419460309688443
102,9,65.66215149726037,0.8871750144834383,2.42136549949646,0.33537554056560515,0.3392577445089837
109,7,12.970275923548945,0.3798757907070096,2.5664515495300293,0.4611122963040044,0.4624684951750218
112,5,14.806621475874254,0.21535860270754606,2.7720212936401367,0.5444030627184304,0.546994529521431
111,4,7.015782988543975,0.5453344233283561,2.9849698543548584,0.5069203132951422,0.5108027252331808
103,6,1.7727586139089058,0.1706145742720013,2.758573293685913,0.5915106116318102,0.5940288533577948
110,8,37.720508440520874,2.6841868071012756,2.4957919120788574,0.29520317719572675,0.3093056241411625
100,9,28.66299024514134,0.40303366262061024,2.4260852336883545,0.4254307296840631,0.4320620079209819
106,7,40.9484051058072,9.616111673712101,2.559950590133667,0.28982170108331795,0.29613590336218193
113,4,5.212436341035656,0.13418868527853264,2.9572575092315674,0.6106737240375519,0.6128181810801783
0,7,32.80264061679064,0.6936544259016648,2.5626840591430664,0.3903616541069101,0.390288252696441
101,6,3.966897780009631,0.16493120444233458,2.6840054988861084,0.5812948445630967,0.5818966470305229
108,4,1.32529424809201,0.10368167642227875,3.1221635341644287,0.6429150032093269,0.6453672340377951
107,2,1.3541580460878313,0.14768593546795997,5.726432800292969,0.6610485764154547,0.6645965198514368
125,6,43.27496864074804,0.11774338678426034,2.627838373184204,0.5746220960373397,0.5803771126238687
115,4,1.7291018406564778,0.6250391248228295,3.1772305965423584,0.5338233637416038,0.5391998080575537
11,9,67.91863682301658,0.15365394982665764,2.415123462677002,0.5174252242248207,0.5173604953469022
127,3,48.38008801969925,1.4651981461266073,3.3678109645843506,0.5134750377162284,0.5182266588577121
116,4,19.14231846349775,9.864634299546202,3.037107229232788,0.43394153864475404,0.4414389651005698
117,4,17.653473402047176,0.16190467115475896,2.955329179763794,0.5816890166101203,0.5838546022115287
121,7,56.92632734495056,0.9790657311117436,2.5563323497772217,0.3549723811908255,0.36596371209144296
126,3,56.10047247719595,1.603885752842774,3.4246575832366943,0.5133013837292063,0.5197715147679486
123,4,12.179182756779463,7.288309539846498,3.002323627471924,0.4351890800424269,0.43073883802936247
118,8,5.702482072704339,1.2381764075631054,2.531116485595703,0.36263543086021427,0.36392528734382723
122,6,46.45869416791545,9.91667524556341,2.6526706218719482,0.3261633718996283,0.33728653765555355
120,8,1.980633107035641,0.6483563464994289,2.5900180339813232,0.4394871922554417,0.43789684833031867
119,3,1.6199162575455852,1.5576897110902348,4.237831115722656,0.5710425230956242,0.5769228225398099
114,1,63.97663816160129,0.8002461351702015,9.374160766601562,0.6536159577765885,0.6580458171948307
124,1,4.79115951248222,8.416527107413797,9.179069519042969,0.6555318531555542,0.6606228065456664
128,8,1.3574325597141428,0.14766795946493616,2.616252899169922,0.596875669927787,0.5993612297922528
137,8,49.088974881299514,8.799694803722614,2.491790294647217,0.2664040410764189,0.27637310552650013
130,5,1.072927260821996,4.874267632246937,3.0442540645599365,0.45751429635587143,0.4644535888250233
131,6,52.942783521976764,3.9929226640830344,2.6600592136383057,0.33021958760718767,0.33865574439019436
12,7,26.3333946171915,3.7161695398612693,2.567858934402466,0.3082520848955093,0.3236296652772489
136,9,63.4274774837694,0.6849853792435903,2.420132875442505,0.3575602947198065,0.35445569482072004
132,8,86.53594554039066,1.0232915437049808,2.489485740661621,0.33039392981015003,0.33916738146050557
134,9,32.786326882796594,9.573376198183196,2.4276561737060547,0.2541025551592375,0.2595039678656047
135,7,64.79797690230077,0.25835071280708066,2.5508065223693848,0.4676826625939467,0.46627337790361206
133,9,10.112468874772794,1.4052220470578252,2.4423627853393555,0.33762449148834334,0.3485183347802853
138,10,14.88596217641273,5.042352638963738,2.390174150466919,0.2643615627850874,0.28237979155059323
129,1,1.357404774447865,0.18238465486569627,8.52380657196045,0.665025820273997,0.6691731965888427
139,1,20.604833228131767,0.10011090630176127,9.270939826965332,0.6613953263220373,0.6674688699660003
140,3,4.0260957163975695,1.3820802860176151,3.536308765411377,0.5434184065703029,0.5489079953376265
141,6,1.3528252061681958,5.245257872236825,2.838517904281616,0.4005678321269115,0.4073124035826375
13,1,16.741492384249614,4.53029577031198,8.93881893157959,0.6533285252254695,0.6580974958971779
142,5,35.07198212922684,0.5865694700500991,2.763336658477783,0.4407696880264174,0.4464726611700227
143,7,1.3320407705494552,1.9141224859802866,2.7291693687438965,0.3950415145258434,0.39610805027569274
147,10,27.18801448877863,2.2237584799031813,2.3772943019866943,0.28990811254269183,0.302710823875641
145,6,1.2913801061837966,0.1179961036929292,2.7758259773254395,0.6234332300756882,0.6282593797743731
146,7,1.9134175567127405,6.024527276949595,2.724024534225464,0.34692908770598974,0.35372392094992033
148,3,41.74235934404344,0.5076257839556083,3.359121799468994,0.5347978783667383,0.5388282863530107
14,6,3.074834560288194,0.44710417522962276,2.713587760925293,0.48598582301964527,0.4911672744102279
144,3,3.005407737445737,2.8767447440814298,4.056472301483154,0.5578208785312243,0.5652216594534499
152,6,1.6239985955109666,1.2539711142759375,2.808743953704834,0.43284000211244417,0.43759550825936355
150,1,1.595735914940581,3.599951986070923,10.403915405273438,0.6555682314100114,0.6595164966666093
151,1,1.1612638982168415,1.7171207935552912,9.503082275390625,0.655956642750522,0.6600833593801478
149,1,16.731763937658616,0.593425235845539,9.327106475830078,0.6534761143912179,0.6584142070942336
153,6,2.4544107323173416,3.688365404064849,2.777182102203369,0.38254379571235453,0.39182769922928756
157,5,37.768782277807716,0.17956357770540482,2.752208948135376,0.542539891830906,0.5465162748045179
154,8,1.6672235911466573,0.13192334525406954,2.59049391746521,0.6046130760317286,0.6081472351135041
155,8,16.930184100780618,7.376172106969059,2.4971256256103516,0.27457351685291165,0.2802702838250524
156,2,86.89020946811348,2.674445669440013,6.742353916168213,0.627890181515209,0.6318936076298906
158,7,39.69012099421147,6.819849898902333,2.581953287124634,0.2971375165543216,0.315955253785991
161,6,32.60111416253718,0.8145926246011653,2.6461181640625,0.3971009785592436,0.4068615010213297
160,4,1.1922540885042139,0.608208913994123,3.265167474746704,0.5438607520803751,0.54750969069145
159,2,10.914770752266055,3.723730986631244,6.973031044006348,0.6298500409823791,0.6335831498618335
162,2,81.8455498850769,6.365830133090845,9.354691505432129,0.6403487249096604,0.6453147101316874
15,2,2.4106501268706224,1.3646506337961615,9.054046630859375,0.6381750983768204,0.6438717103964887
164,9,21.528923021864514,1.3918539048254541,2.4351437091827393,0.3221282638153793,0.3244063799075866
165,4,2.879456177662321,3.5701403366264945,3.269232749938965,0.4743634096693535,0.4794526356019228
166,9,24.946226744013316,0.6921850772541872,2.4286069869995117,0.37525200811596415,0.3809651389923118
163,1,9.382751223637605,6.340781666628092,8.191805839538574,0.6547862335048403,0.6605181192924058
168,10,6.984141599186841,0.14725298813295,2.3850464820861816,0.5615288723878906,0.5610997801747165
167,5,77.79847714889931,0.19560540175479935,2.7605302333831787,0.5169638763221008,0.5195915103144927
16,4,40.42873087218371,0.19274751509150145,2.951568365097046,0.5519355579511328,0.5560775084880458
170,3,29.414311228480084,0.11518652909100202,3.2884020805358887,0.6149147705737008,0.6190759563603706
169,2,6.78082276512846,0.15791448786933734,4.50816011428833,0.6423396436293567,0.6459679773031071
171,8,7.280691489481915,0.6823999997606407,2.5088846683502197,0.40368053832862427,0.40515400736587603
172,8,68.95483233362376,8.403979280736975,2.4989912509918213,0.2649956535376683,0.2652629211955999
173,5,1.4357442290047986,0.13824802373533956,2.927257776260376,0.6175033363798065,0.6192337385012416
174,6,24.18523444255002,0.49078379339533357,2.6553587913513184,0.44142151939188384,0.4475924766308456
176,6,1.3836785960883262,6.121673795325527,2.8428056240081787,0.39174491896920327,0.3969711819510703
177,4,1.0149956974437386,2.0798737968169303,3.416213035583496,0.5221727864159751,0.5267817777489034
175,3,1.0469561265225316,8.884787102328668,5.773805618286133,0.6086079947978899,0.6149201546483192
17,9,7.8693550970468396,0.14484104086398406,2.4382951259613037,0.5666320949005494,0.5739865709531224
