config_id,association_valency,association_constant,association_lifetime,acetylation_level,rg,msd_alpha,pair_msd_alpha
124,8,37.3003038939452,1.3314708768681607,0.125,2.776167154312134,0.4100682139534207,0.413006579870098
126,5,12.045663164074536,0.9643345686760991,0.03,3.3088507652282715,0.5274362690536479,0.5314658041440797
115,10,73.72739985695372,0.14351412842167116,0.06,2.605591297149658,0.5091126154015517,0.5163714915828624
127,10,7.473059240191099,0.16778237334274868,0.065,2.656048059463501,0.5336077020224982,0.5352616989343049
128,3,81.35432241193634,0.9738797933987454,0.095,7.0368852615356445,0.6374872976162003,0.6423425531920056
119,6,11.406708757572765,1.3685452243877987,0.375,3.510699987411499,0.5410685298310715,0.5460541505168416
121,10,47.866190136377924,0.3984430225238202,0.645,3.2076921463012695,0.520538986100282,0.5228123283230982
109,6,6.747491830679724,0.10054592647627777,0.165,3.058013439178467,0.6080181807231176,0.6127051761872085
122,6,2.411383376329076,3.909639245152972,0.02,3.5961294174194336,0.532256952502958,0.5376243980890129
110,5,25.662038786400434,1.2008123980104,0.025,3.3233442306518555,0.5241327372688811,0.5305596321987103
107,5,2.9163207965899267,0.15114179346457926,0.035,3.2500617504119873,0.6078871891167602,0.6121050364611478
112,4,1.4367223547185657,5.232998784670563,0.075,7.019550323486328,0.6431820663961163,0.6472727217648699
117,7,57.36673762419185,3.630254784466471,0.495,4.493928909301758,0.5535482264959996,0.5605265128861563
100,8,1.315224842583571,1.8591371089976547,0.0,3.0923216342926025,0.4859820716917576,0.48728415323119495
105,2,47.385793986772306,2.078653183181154,0.18,6.85557222366333,0.6507675693594626,0.6566120445058627
10,7,16.44434566747599,0.6959158929843928,0.025,2.8345768451690674,0.4523208403955225,0.45432871210809905
0,7,32.80264061679064,0.6936544259016648,0.03,2.8359453678131104,0.4457877768144958,0.4531212736852613
101,9,1.7647988980942149,0.20580529421363697,0.04,2.8221561908721924,0.5485478356232569,0.549614760507556
11,9,8.254061228035164,0.31747459434690195,0.035,2.697848081588745,0.4797686089952627,0.4863110508215189
111,1,7.1449451393641805,5.701747127409418,0.615,9.032037734985352,0.6547360179597066,0.6599345413371165
118,7,4.516982060048384,6.813699504465785,0.93,11.84176254272461,0.6525900025677451,0.6578205404824574
104,2,17.324063450316903,0.4012911024422111,0.08,8.541815757751465,0.6528473979567123,0.658337303235591
114,2,4.241783660319331,0.22515639950231278,0.09,7.762873649597168,0.6594305621130119,0.6626441393421533
113,1,2.548129733251704,0.3937957674914567,0.085,7.661421298980713,0.6571379151122166,0.6606526655809011
102,2,11.185354724117595,6.280336747478797,0.43,10.492974281311035,0.6552264135908191,0.661187788773839
125,1,93.47237854500948,1.1428169060457452,0.39,8.493348121643066,0.6555542309643106,0.6600090028834708
103,2,3.610828802569112,0.2528536493646514,0.18,8.251008033752441,0.6568094494952291,0.6631940832825441
123,1,20.98046409585138,0.44939328734480616,0.865,7.253242015838623,0.6530861908142043,0.65758830011504
108,2,1.9898619630434693,3.980630887257991,0.005,11.64340877532959,0.6561764195497402,0.6603855411507069
106,1,2.1322100493982816,0.24099807398649395,0.215,8.043105125427246,0.6604729637348608,0.6636819871710972
120,1,4.072289813380304,0.10205016234374055,0.11,8.028890609741211,0.6636916842362585,0.6676642344266623
116,2,1.5660773745261434,0.15819573077750598,0.08,7.224010467529297,0.6632750971154584,0.6665858435643595
129,4,9.730488331024869,1.8101145747597334,0.195,6.093197345733643,0.6168522525156322,0.6233191356299799
12,5,11.037717233243393,0.7041906658747639,0.31,3.6409828662872314,0.5577639244680662,0.5614396755333164
130,2,6.728472200383572,0.19562587931340336,0.05,7.343782901763916,0.657276414719375,0.661796890873562
153,7,8.846577454998034,6.26810576902956,0.16,2.9574201107025146,0.4708643467379655,0.47610242318863105
155,8,14.488069602664549,0.7028611088779001,0.3,2.9263014793395996,0.46783567317333846,0.4727757612694978
131,5,19.333237531443547,4.144641217199579,0.045,3.606475353240967,0.5549508658558228,0.559854242762791
152,10,46.08139312825943,0.3953593679346426,0.35,2.756530523300171,0.4445640429162037,0.4492636712395405
156,5,29.0031347013074,5.369791563385557,0.075,3.974553346633911,0.5675472609024915,0.5740947103085321
134,9,4.600906278398979,1.8877173164464098,0.495,3.43892240524292,0.5180801864493727,0.5221159326221592
150,8,2.2523971790749613,8.260367260902651,0.015,2.993943691253662,0.4566844632738628,0.46282973792571047
138,4,31.1212098175913,0.8460196349252018,0.45,5.092168807983398,0.6171629019694219,0.6232494764503541
132,8,1.6140547215339416,9.169094972484476,0.265,4.237858295440674,0.5654811384069919,0.569672463112547
137,4,68.54740445182838,0.24337119391787734,0.66,5.46219539642334,0.630797403856464,0.6356302596151137
135,4,46.094411079664134,7.2615072265586935,0.02,5.891321182250977,0.6281134590951206,0.6330694170399355
136,9,2.681134436557252,1.2021506299046893,0.055,2.7975385189056396,0.4333901710260092,0.4379166383934839
139,4,1.0857350405191684,0.6717575403248821,0.095,8.23051643371582,0.6389913227010495,0.6439489865021611
149,3,24.062070793330225,0.6851951985827451,0.05,6.846923351287842,0.6332346100126842,0.6381693008095961
13,9,47.19335479707273,0.23612681192354096,0.21,2.750950336456299,0.48531672482519955,0.4884882462559308
144,8,8.715843877957047,2.450946082991044,0.525,3.7375426292419434,0.5425753512093207,0.5467709435330783
133,7,52.09814803167451,0.12765414513535583,0.015,2.790003538131714,0.553540901197758,0.5569291627847514
14,5,85.4369683424644,4.312096327559915,0.6,5.87504768371582,0.6286868556966635,0.6347827749968157
141,5,1.710983449682257,0.9427322988795995,0.435,5.932087421417236,0.6269751396522607,0.6317126476806447
148,3,11.377103486345234,0.15420875881907437,0.23,6.604769229888916,0.6476184891801945,0.6522940835218831
145,1,7.530270506053793,1.0565530194193318,0.015,10.685735702514648,0.6562171988159364,0.6602871954953018
146,5,1.1126816801278538,2.4299725116535917,0.29,7.035477638244629,0.6340840987266586,0.641008362898546
147,8,2.902824067073855,3.928587498544386,0.365,3.5434627532958984,0.527554318124667,0.5312209627301806
154,3,20.02001890745766,3.6519287343904123,0.06,7.828078269958496,0.6444555075204601,0.6504379518473573
143,1,1.8727101651108875,0.7088325763219097,0.16,7.193789005279541,0.6570475997954468,0.661447893586999
142,7,1.0660108966095678,0.35667780036012575,0.9,7.713761329650879,0.6559345400858656,0.6620349827743344
151,3,4.674525593786391,7.8446659274482045,0.49,7.190126419067383,0.6512671428569284,0.6559691926928505
140,1,1.3668641606120082,3.0820031092989497,0.5,10.450958251953125,0.6583536559676302,0.6627892673305498
157,3,7.594995290915622,0.6054630499059271,0.225,6.074297904968262,0.6318560436527035,0.6367981551961934
158,6,13.677965191920542,0.34474618362957926,0.27,3.1694676876068115,0.542008911832772,0.5438752059177687
159,6,15.513510158982742,0.32894382748513284,0.055,3.013828992843628,0.516996596849045,0.5218881936347141
173,1,5.025571374986733,0.8172017629256192,0.065,7.854968547821045,0.6564552162603382,0.66091293735288
169,2,7.184141006039164,2.1414822787087386,0.54,6.402036190032959,0.6502029670500792,0.6554864201324543
174,2,63.01665351160011,1.3513181686449167,0.395,7.192142486572266,0.6501434349391583,0.6530625883344773
167,3,4.722871894350683,0.2469284889297813,0.075,5.799631595611572,0.6381339976043676,0.6435153621185267
179,3,1.8568051825471779,0.2977885268850621,0.445,6.3210225105285645,0.6476432452044656,0.651684049553777
184,8,1.4451159598835548,0.4897726864616571,0.955,7.407384395599365,0.6538404714990498,0.6583856363683764
165,10,5.528090163475036,4.023366226164391,0.015,2.6456761360168457,0.3623041263589009,0.36687425643584737
175,5,21.587328870159393,5.64674201577523,0.66,5.737565994262695,0.633073809293574,0.638367612460411
178,3,4.081120912736109,2.803133214036701,0.105,7.302994728088379,0.6458355577539325,0.6511148315800029
183,2,10.54106951436241,0.5824852116605778,0.65,7.420051574707031,0.6487319922212794,0.6521094690021246
182,3,6.175148967554875,0.41439810458459747,0.05,5.4013471603393555,0.6322481060842182,0.6371754237115634
171,1,1.2461012676939365,1.8110911104080114,0.03,8.069666862487793,0.6588689803728243,0.6621534814260028
172,6,31.196888674724693,1.8858970147432392,0.645,4.246285438537598,0.5830559853875815,0.5860569190975649
170,4,78.85722360687704,0.7394797602264629,0.035,3.7135562896728516,0.5701065900813769,0.5733533620694136
180,4,2.3248150857754104,0.18051728831831634,0.05,3.6903083324432373,0.6200022447681777,0.6241349036610827
176,9,14.538445842777255,1.3043882553584394,0.69,3.5961458683013916,0.5556524074642656,0.5603050154494315
166,7,94.11729581557545,2.024869240282513,0.0,2.8197596073150635,0.4121510234234681,0.41425419064474805
15,3,7.218179382864472,0.2578539068856641,0.055,6.461321830749512,0.6384315298743274,0.6418482302651671
185,10,2.175049546731563,0.16175348912392695,0.33,2.992708444595337,0.5684217650801061,0.5733265299697197
160,4,7.512438515916104,0.1837924909511119,0.185,3.7818961143493652,0.6154168231742235,0.6193199783567188
161,3,9.307470954020127,0.8410757169651603,0.065,7.0699357986450195,0.6345450874725239,0.6403384014104075
162,4,1.348334774816306,4.789074197677542,0.045,7.4579010009765625,0.6426250599298848,0.6478075698563209
186,9,2.475835283144893,7.418146092825136,0.06,2.8148562908172607,0.4170470668983545,0.4154483835357018
163,3,12.766039206044026,1.7214829743188467,0.365,6.2958083152771,0.642115821013082,0.6467671819608358
164,9,23.27422155176023,0.2544801064963468,0.36,2.8589231967926025,0.49878629349410747,0.5032729784790241
177,8,3.6630549092553872,0.37112589597265727,0.05,2.813645124435425,0.4954274525741747,0.5014895910042099
16,1,10.758863198947731,2.546924625810962,0.97,8.248469352722168,0.6534114448718071,0.6586482876481655
181,8,23.023254869778707,3.940844888670369,0.145,2.811936378479004,0.4182566021594945,0.4259876781888972
168,1,3.1827446150836565,2.247105341919313,0.13,8.755730628967285,0.6561628335119228,0.6606224118784386
17,1,39.37394491263268,0.17977428827682626,0.02,8.09033203125,0.6592250816221635,0.6617091445255044
187,4,79.43973183012577,6.405800253543864,0.06,6.838742733001709,0.6325226399130307,0.6372507056453353
188,8,5.345392354151659,0.44035387306560103,0.675,4.649099826812744,0.5922382855905424,0.5994611332179034
